parroquia,canton,ranking,archivo
GARCIA MORENO,COTACACHI,1,FICHA_COTACACHI_GARCIA_MORENO.pdf
SEIS DE JULIO DE CUELLAJE,COTACACHI,2,FICHA_COTACACHI_SEIS_DE_JULIO_DE_CUELLAJE.pdf
SAN MIGUEL DE IBARRA,IBARRA,3,FICHA_IBARRA_SAN_MIGUEL_DE_IBARRA.pdf
LA CAROLINA,IBARRA,4,FICHA_IBARRA_LA_CAROLINA.pdf
LITA,IBARRA,5,FICHA_IBARRA_LITA.pdf
COTACACHI,COTACACHI,6,FICHA_COTACACHI_COTACACHI.pdf
LA ESPERANZA,IBARRA,7,FICHA_IBARRA_LA_ESPERANZA.pdf
AMBUQUI,IBARRA,8,FICHA_IBARRA_AMBUQUI.pdf
PIMAMPIRO,PIMAMPIRO,9,FICHA_PIMAMPIRO_PIMAMPIRO.pdf
PENAHERRERA,COTACACHI,10,FICHA_COTACACHI_PENAHERRERA.pdf
OTAVALO,OTAVALO,11,FICHA_OTAVALO_OTAVALO.pdf
SAN JOSE DE QUICHINCHE,OTAVALO,12,FICHA_OTAVALO_SAN_JOSE_DE_QUICHINCHE.pdf
LA MERCED DE BUENOS AIRES,SAN MIGUEL DE URCUQUI,13,FICHA_SAN_MIGUEL_DE_URCUQUI_LA_MERCED_DE_BUENOS_AIRES.pdf
URCUQUI,SAN MIGUEL DE URCUQUI,14,FICHA_SAN_MIGUEL_DE_URCUQUI_URCUQUI.pdf
MARIANO ACOSTA,PIMAMPIRO,15,FICHA_PIMAMPIRO_MARIANO_ACOSTA.pdf
SAN PABLO,OTAVALO,16,FICHA_OTAVALO_SAN_PABLO.pdf
APUELA,COTACACHI,17,FICHA_COTACACHI_APUELA.pdf
SALINAS,IBARRA,18,FICHA_IBARRA_SALINAS.pdf
SELVA ALEGRE,OTAVALO,19,FICHA_OTAVALO_SELVA_ALEGRE.pdf
VACAS GALINDO,COTACACHI,20,FICHA_COTACACHI_VACAS_GALINDO.pdf
SAN RAFAEL,OTAVALO,21,FICHA_OTAVALO_SAN_RAFAEL.pdf
TUMBABIRO,SAN MIGUEL DE URCUQUI,22,FICHA_SAN_MIGUEL_DE_URCUQUI_TUMBABIRO.pdf
PABLO ARENAS,SAN MIGUEL DE URCUQUI,23,FICHA_SAN_MIGUEL_DE_URCUQUI_PABLO_ARENAS.pdf
SAN ANTONIO,IBARRA,24,FICHA_IBARRA_SAN_ANTONIO.pdf
SAN FRANCISCO DE SIGSIPAMBA,PIMAMPIRO,25,FICHA_PIMAMPIRO_SAN_FRANCISCO_DE_SIGSIPAMBA.pdf
ANGOCHAGUA,IBARRA,26,FICHA_IBARRA_ANGOCHAGUA.pdf
IMANTAG,COTACACHI,27,FICHA_COTACACHI_IMANTAG.pdf
PLAZA GUTIERREZ,COTACACHI,28,FICHA_COTACACHI_PLAZA_GUTIERREZ.pdf
SAN JUAN DE ILUMAN,OTAVALO,29,FICHA_OTAVALO_SAN_JUAN_DE_ILUMAN.pdf
ATUNTAQUI,ANTONIO ANTE,30,FICHA_ANTONIO_ANTE_ATUNTAQUI.pdf
GONZALEZ SUAREZ,OTAVALO,31,FICHA_OTAVALO_GONZALEZ_SUAREZ.pdf
EUGENIO ESPEJO,OTAVALO,32,FICHA_OTAVALO_EUGENIO_ESPEJO.pdf
DR. MIGUEL EGAS CABEZAS,OTAVALO,33,FICHA_OTAVALO_DR_MIGUEL_EGAS_CABEZAS.pdf
SAN BLAS,SAN MIGUEL DE URCUQUI,34,FICHA_SAN_MIGUEL_DE_URCUQUI_SAN_BLAS.pdf
SAN JOSE DE CHALTURA,ANTONIO ANTE,35,FICHA_ANTONIO_ANTE_SAN_JOSE_DE_CHALTURA.pdf
CHUGA,PIMAMPIRO,36,FICHA_PIMAMPIRO_CHUGA.pdf
SAN FRANCISCO DE NATABUELA,ANTONIO ANTE,37,FICHA_ANTONIO_ANTE_SAN_FRANCISCO_DE_NATABUELA.pdf
QUIROGA,COTACACHI,38,FICHA_COTACACHI_QUIROGA.pdf
SAN ROQUE,ANTONIO ANTE,39,FICHA_ANTONIO_ANTE_SAN_ROQUE.pdf
CAHUASQUI,SAN MIGUEL DE URCUQUI,40,FICHA_SAN_MIGUEL_DE_URCUQUI_CAHUASQUI.pdf
PATAQUI,OTAVALO,41,FICHA_OTAVALO_PATAQUI.pdf
IMBAYA,ANTONIO ANTE,42,FICHA_ANTONIO_ANTE_IMBAYA.pdf
