cultivo,canton,parroquia,ha_cosechada_mapspam,cobertura_pixeles,area_km2,fuente,variable,metodo,nivel_dato
papa,IBARRA,SAN MIGUEL DE IBARRA,98.47,2.84,243.3,MapSPAM v2r0 2020,Harvested Area (ha),exactextract sum=Σ(xi×ci),parroquial
papa,IBARRA,AMBUQUI,46.04,1.47,125.9,MapSPAM v2r0 2020,Harvested Area (ha),exactextract sum=Σ(xi×ci),parroquial
papa,IBARRA,ANGOCHAGUA,106.25,1.37,117.7,MapSPAM v2r0 2020,Harvested Area (ha),exactextract sum=Σ(xi×ci),parroquial
papa,IBARRA,LA CAROLINA,11.89,2.29,273.2,MapSPAM v2r0 2020,Harvested Area (ha),exactextract sum=Σ(xi×ci),parroquial
papa,IBARRA,LA ESPERANZA,8.84,0.41,35.0,MapSPAM v2r0 2020,Harvested Area (ha),exactextract sum=Σ(xi×ci),parroquial
papa,IBARRA,LITA,0.18,1.05,238.4,MapSPAM v2r0 2020,Harvested Area (ha),exactextract sum=Σ(xi×ci),parroquial
papa,IBARRA,SALINAS,3.36,0.89,76.6,MapSPAM v2r0 2020,Harvested Area (ha),exactextract sum=Σ(xi×ci),parroquial
papa,IBARRA,SAN ANTONIO,1.07,0.34,29.0,MapSPAM v2r0 2020,Harvested Area (ha),exactextract sum=Σ(xi×ci),parroquial
papa,ANTONIO ANTE,ATUNTAQUI,1.33,0.26,22.4,MapSPAM v2r0 2020,Harvested Area (ha),exactextract sum=Σ(xi×ci),parroquial
papa,ANTONIO ANTE,IMBAYA,0.18,0.13,11.6,MapSPAM v2r0 2020,Harvested Area (ha),exactextract sum=Σ(xi×ci),parroquial
papa,ANTONIO ANTE,SAN FRANCISCO DE NATABUELA,0.6,0.12,10.6,MapSPAM v2r0 2020,Harvested Area (ha),exactextract sum=Σ(xi×ci),parroquial
papa,ANTONIO ANTE,SAN JOSE DE CHALTURA,1.44,0.2,17.0,MapSPAM v2r0 2020,Harvested Area (ha),exactextract sum=Σ(xi×ci),parroquial
papa,ANTONIO ANTE,SAN ROQUE,0.73,0.21,18.3,MapSPAM v2r0 2020,Harvested Area (ha),exactextract sum=Σ(xi×ci),parroquial
papa,COTACACHI,COTACACHI,1.33,0.75,65.8,MapSPAM v2r0 2020,Harvested Area (ha),exactextract sum=Σ(xi×ci),parroquial
papa,COTACACHI,APUELA,0.37,1.19,202.1,MapSPAM v2r0 2020,Harvested Area (ha),exactextract sum=Σ(xi×ci),parroquial
papa,COTACACHI,GARCIA MORENO,0.05,5.43,886.3,MapSPAM v2r0 2020,Harvested Area (ha),exactextract sum=Σ(xi×ci),parroquial
papa,COTACACHI,IMANTAG,4.49,1.18,229.5,MapSPAM v2r0 2020,Harvested Area (ha),exactextract sum=Σ(xi×ci),parroquial
papa,COTACACHI,PENAHERRERA,0.32,1.43,122.6,MapSPAM v2r0 2020,Harvested Area (ha),exactextract sum=Σ(xi×ci),parroquial
papa,COTACACHI,PLAZA GUTIERREZ,0.47,0.6,76.2,MapSPAM v2r0 2020,Harvested Area (ha),exactextract sum=Σ(xi×ci),parroquial
papa,COTACACHI,QUIROGA,0.97,0.52,45.6,MapSPAM v2r0 2020,Harvested Area (ha),exactextract sum=Σ(xi×ci),parroquial
papa,COTACACHI,SEIS DE JULIO DE CUELLAJE,3.85,1.91,181.9,MapSPAM v2r0 2020,Harvested Area (ha),exactextract sum=Σ(xi×ci),parroquial
papa,COTACACHI,VACAS GALINDO,0.05,0.64,54.9,MapSPAM v2r0 2020,Harvested Area (ha),exactextract sum=Σ(xi×ci),parroquial
papa,OTAVALO,OTAVALO,45.92,0.35,79.3,MapSPAM v2r0 2020,Harvested Area (ha),exactextract sum=Σ(xi×ci),parroquial
papa,OTAVALO,DR. MIGUEL EGAS CABEZAS,8.19,0.12,10.1,MapSPAM v2r0 2020,Harvested Area (ha),exactextract sum=Σ(xi×ci),parroquial
papa,OTAVALO,EUGENIO ESPEJO,21.23,0.1,28.0,MapSPAM v2r0 2020,Harvested Area (ha),exactextract sum=Σ(xi×ci),parroquial
papa,OTAVALO,GONZALEZ SUAREZ,67.29,0.57,50.3,MapSPAM v2r0 2020,Harvested Area (ha),exactextract sum=Σ(xi×ci),parroquial
papa,OTAVALO,PATAQUI,5.52,0.12,10.0,MapSPAM v2r0 2020,Harvested Area (ha),exactextract sum=Σ(xi×ci),parroquial
papa,OTAVALO,SAN JOSE DE QUICHINCHE,12.36,1.65,165.1,MapSPAM v2r0 2020,Harvested Area (ha),exactextract sum=Σ(xi×ci),parroquial
papa,OTAVALO,SAN JUAN DE ILUMAN,0.75,0.24,20.5,MapSPAM v2r0 2020,Harvested Area (ha),exactextract sum=Σ(xi×ci),parroquial
papa,OTAVALO,SAN PABLO,120.42,0.75,63.8,MapSPAM v2r0 2020,Harvested Area (ha),exactextract sum=Σ(xi×ci),parroquial
papa,OTAVALO,SAN RAFAEL,37.6,0.2,17.9,MapSPAM v2r0 2020,Harvested Area (ha),exactextract sum=Σ(xi×ci),parroquial
papa,OTAVALO,SELVA ALEGRE,0.51,0.92,86.3,MapSPAM v2r0 2020,Harvested Area (ha),exactextract sum=Σ(xi×ci),parroquial
papa,PIMAMPIRO,PIMAMPIRO,10.19,1.02,92.8,MapSPAM v2r0 2020,Harvested Area (ha),exactextract sum=Σ(xi×ci),parroquial
papa,PIMAMPIRO,CHUGA,0.74,0.47,49.5,MapSPAM v2r0 2020,Harvested Area (ha),exactextract sum=Σ(xi×ci),parroquial
papa,PIMAMPIRO,MARIANO ACOSTA,52.6,1.02,131.4,MapSPAM v2r0 2020,Harvested Area (ha),exactextract sum=Σ(xi×ci),parroquial
papa,PIMAMPIRO,SAN FRANCISCO DE SIGSIPAMBA,11.36,0.4,166.1,MapSPAM v2r0 2020,Harvested Area (ha),exactextract sum=Σ(xi×ci),parroquial
