gbifID,scientificName,species,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,countryCode,year,basisOfRecord,institutionCode,datasetKey,issues
5215699541,Solanum tuberosum L.,Solanum tuberosum,0.253378,-78.215742,,EC,2025.0,HUMAN_OBSERVATION,iNaturalist,50c9509d-22c7-4a22-a47d-8c48425ef4a7,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
5069912612,Solanum tuberosum L.,Solanum tuberosum,-0.845616,-78.584903,210.0,EC,2025.0,HUMAN_OBSERVATION,iNaturalist,50c9509d-22c7-4a22-a47d-8c48425ef4a7,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
5077117857,Solanum tuberosum L.,Solanum tuberosum,-1.340401,-78.582366,5.0,EC,2025.0,HUMAN_OBSERVATION,iNaturalist,50c9509d-22c7-4a22-a47d-8c48425ef4a7,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
5088078467,Solanum tuberosum L.,Solanum tuberosum,-0.85665,-78.918344,303.0,EC,2025.0,HUMAN_OBSERVATION,iNaturalist,50c9509d-22c7-4a22-a47d-8c48425ef4a7,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
5087821773,Solanum tuberosum L.,Solanum tuberosum,-0.357578,-78.150978,3.0,EC,2025.0,HUMAN_OBSERVATION,iNaturalist,50c9509d-22c7-4a22-a47d-8c48425ef4a7,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
5217126565,Solanum tuberosum L.,Solanum tuberosum,-1.338989,-78.534246,5.0,EC,2025.0,HUMAN_OBSERVATION,iNaturalist,50c9509d-22c7-4a22-a47d-8c48425ef4a7,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
5215752661,Solanum tuberosum L.,Solanum tuberosum,-1.725901,-78.762369,167.0,EC,2025.0,HUMAN_OBSERVATION,iNaturalist,50c9509d-22c7-4a22-a47d-8c48425ef4a7,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
5216574651,Solanum tuberosum L.,Solanum tuberosum,-1.73186,-78.760999,1.0,EC,2025.0,HUMAN_OBSERVATION,iNaturalist,50c9509d-22c7-4a22-a47d-8c48425ef4a7,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
5216596683,Solanum tuberosum L.,Solanum tuberosum,-1.731957,-78.760823,4.0,EC,2025.0,HUMAN_OBSERVATION,iNaturalist,50c9509d-22c7-4a22-a47d-8c48425ef4a7,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
5216970668,Solanum tuberosum L.,Solanum tuberosum,-1.732177,-78.761415,5.0,EC,2025.0,HUMAN_OBSERVATION,iNaturalist,50c9509d-22c7-4a22-a47d-8c48425ef4a7,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
5217018675,Solanum tuberosum L.,Solanum tuberosum,-1.731973,-78.760816,4.0,EC,2025.0,HUMAN_OBSERVATION,iNaturalist,50c9509d-22c7-4a22-a47d-8c48425ef4a7,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
5231683946,Solanum tuberosum L.,Solanum tuberosum,-2.150411,-79.957518,2.0,EC,2025.0,HUMAN_OBSERVATION,iNaturalist,50c9509d-22c7-4a22-a47d-8c48425ef4a7,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
5828283156,Solanum tuberosum L.,Solanum tuberosum,-0.019569,-79.605539,5.0,EC,2025.0,HUMAN_OBSERVATION,iNaturalist,50c9509d-22c7-4a22-a47d-8c48425ef4a7,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
6131428881,Solanum tuberosum L.,Solanum tuberosum,0.593203,-77.729822,25.0,EC,2025.0,HUMAN_OBSERVATION,iNaturalist,50c9509d-22c7-4a22-a47d-8c48425ef4a7,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
5889351800,Solanum tuberosum L.,Solanum tuberosum,-1.057053,-78.61225,44.0,EC,2025.0,HUMAN_OBSERVATION,iNaturalist,50c9509d-22c7-4a22-a47d-8c48425ef4a7,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
5889511354,Solanum tuberosum L.,Solanum tuberosum,-0.851392,-78.894446,,EC,2025.0,HUMAN_OBSERVATION,iNaturalist,50c9509d-22c7-4a22-a47d-8c48425ef4a7,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
5889850412,Solanum tuberosum L.,Solanum tuberosum,0.806258,-77.727437,5.0,EC,2025.0,HUMAN_OBSERVATION,iNaturalist,50c9509d-22c7-4a22-a47d-8c48425ef4a7,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
5932372016,Solanum tuberosum L.,Solanum tuberosum,-0.219716,-78.48869,2.0,EC,2025.0,HUMAN_OBSERVATION,iNaturalist,50c9509d-22c7-4a22-a47d-8c48425ef4a7,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
4516430304,Solanum tuberosum L.,Solanum tuberosum,-0.759237,-78.632338,60.0,EC,2024.0,HUMAN_OBSERVATION,iNaturalist,50c9509d-22c7-4a22-a47d-8c48425ef4a7,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
4863770557,Solanum tuberosum L.,Solanum tuberosum,-1.384303,-78.647497,,EC,2024.0,HUMAN_OBSERVATION,iNaturalist,50c9509d-22c7-4a22-a47d-8c48425ef4a7,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
5109837317,Solanum tuberosum L.,Solanum tuberosum,-0.892183,-78.782478,,EC,2024.0,HUMAN_OBSERVATION,,7a3679ef-5582-4aaa-81f0-8c2545cafc81,"COORDINATE_ROUNDED,COUNTRY_DERIVED_FROM_COORDINATES,CONTINENT_DERIVED_FROM_COORDINATES"
4868046407,Solanum tuberosum L.,Solanum tuberosum,-0.852463,-78.602037,15.0,EC,2024.0,HUMAN_OBSERVATION,iNaturalist,50c9509d-22c7-4a22-a47d-8c48425ef4a7,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
4868076236,Solanum tuberosum L.,Solanum tuberosum,-1.749887,-78.628167,3.0,EC,2024.0,HUMAN_OBSERVATION,iNaturalist,50c9509d-22c7-4a22-a47d-8c48425ef4a7,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
4900874463,Solanum tuberosum L.,Solanum tuberosum,-1.74687,-78.810376,8.0,EC,2024.0,HUMAN_OBSERVATION,iNaturalist,50c9509d-22c7-4a22-a47d-8c48425ef4a7,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
4923708210,Solanum tuberosum L.,Solanum tuberosum,-0.5114,-78.567019,2970.0,EC,2024.0,HUMAN_OBSERVATION,iNaturalist,50c9509d-22c7-4a22-a47d-8c48425ef4a7,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
4453691618,Solanum tuberosum L.,Solanum tuberosum,-1.406667,-78.413611,,EC,2023.0,HUMAN_OBSERVATION,iNaturalist,50c9509d-22c7-4a22-a47d-8c48425ef4a7,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
4067666065,Solanum tuberosum L.,Solanum tuberosum,-0.388983,-78.414138,69.0,EC,2023.0,HUMAN_OBSERVATION,iNaturalist,50c9509d-22c7-4a22-a47d-8c48425ef4a7,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
4116504649,Solanum tuberosum L.,Solanum tuberosum,-2.859225,-78.957987,10.0,EC,2023.0,HUMAN_OBSERVATION,iNaturalist,50c9509d-22c7-4a22-a47d-8c48425ef4a7,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
4512087765,Solanum tuberosum L.,Solanum tuberosum,-0.922338,-78.560037,38.0,EC,2023.0,HUMAN_OBSERVATION,iNaturalist,50c9509d-22c7-4a22-a47d-8c48425ef4a7,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
4080741347,Solanum tuberosum L.,Solanum tuberosum,-0.946745,-78.612305,4.0,EC,2023.0,HUMAN_OBSERVATION,iNaturalist,50c9509d-22c7-4a22-a47d-8c48425ef4a7,"CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
4171156550,Solanum tuberosum L.,Solanum tuberosum,-0.360699,-78.15336,1000.0,EC,2023.0,HUMAN_OBSERVATION,iNaturalist,50c9509d-22c7-4a22-a47d-8c48425ef4a7,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
4171387794,Solanum tuberosum L.,Solanum tuberosum,-0.380575,-78.071717,,EC,2023.0,HUMAN_OBSERVATION,iNaturalist,50c9509d-22c7-4a22-a47d-8c48425ef4a7,"COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,TAXON_ID_NOT_FOUND"
5023180223,Solanum tuberosum L.,Solanum tuberosum,-0.37537,-78.182594,250.0,EC,2023.0,HUMAN_OBSERVATION,NABU|naturgucker,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,"COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,CONTINENT_DERIVED_FROM_COORDINATES"
5109737640,Solanum tuberosum L.,Solanum tuberosum,-0.314356,-78.494074,17.0,EC,2023.0,HUMAN_OBSERVATION,,7a3679ef-5582-4aaa-81f0-8c2545cafc81,"COORDINATE_ROUNDED,COUNTRY_DERIVED_FROM_COORDINATES,CONTINENT_DERIVED_FROM_COORDINATES"
5109853243,Solanum tuberosum L.,Solanum tuberosum,-0.3144,-78.494389,4.0,EC,2023.0,HUMAN_OBSERVATION,,7a3679ef-5582-4aaa-81f0-8c2545cafc81,"COORDINATE_ROUNDED,COUNTRY_DERIVED_FROM_COORDINATES,CONTINENT_DERIVED_FROM_COORDINATES"
