canton,parroquia,area_km2,frejol,maiz,papa,total_ha_sin_quinua,densidad_agricola_ha_km2,n_cultivos
IBARRA,LITA,238.4,8.85,1221.0,0.18,1230.03,5.1595,3
IBARRA,SAN MIGUEL DE IBARRA,243.3,199.19,851.85,98.47,1149.51,4.7247,3
SAN MIGUEL DE URCUQUI,LA MERCED DE BUENOS AIRES,383.9,4.05,945.6,0.54,950.1899999999999,2.4751,3
OTAVALO,SAN PABLO,63.8,1.46,460.85,120.42,582.73,9.1337,3
COTACACHI,COTACACHI,65.8,181.04,255.33,1.33,437.70000000000005,6.652,3
OTAVALO,SAN JOSE DE QUICHINCHE,165.1,286.5,134.23,12.36,433.09,2.6232,3
COTACACHI,GARCIA MORENO,886.3,152.03,266.21,0.05,418.28999999999996,0.472,3
OTAVALO,OTAVALO,79.3,42.41,325.61,45.92,413.94000000000005,5.2199,3
COTACACHI,SEIS DE JULIO DE CUELLAJE,181.9,68.32,310.95,3.85,383.12,2.1062,3
COTACACHI,PENAHERRERA,122.6,123.04,163.47,0.32,286.83,2.3396,3
COTACACHI,APUELA,202.1,119.98,164.12,0.37,284.47,1.4076,3
IBARRA,ANGOCHAGUA,117.7,23.76,133.1,106.25,263.11,2.2354,3
COTACACHI,IMANTAG,229.5,10.34,208.52,4.49,223.35000000000002,0.9732,3
OTAVALO,SAN RAFAEL,17.9,0.05,183.08,37.6,220.73000000000002,12.3313,3
IBARRA,SALINAS,76.6,157.53,45.47,3.36,206.36,2.694,3
OTAVALO,GONZALEZ SUAREZ,50.3,0.11,136.46,67.29,203.86,4.0529,3
IBARRA,LA ESPERANZA,35.0,28.0,166.3,8.84,203.14000000000001,5.804,3
OTAVALO,SELVA ALEGRE,86.3,119.8,76.86,0.51,197.17000000000002,2.2847,3
COTACACHI,VACAS GALINDO,54.9,83.38,109.25,0.05,192.68,3.5097,3
IBARRA,AMBUQUI,125.9,75.12,70.87,46.04,192.03,1.5253,3
IBARRA,SAN ANTONIO,29.0,57.42,132.43,1.07,190.92000000000002,6.5834,3
COTACACHI,PLAZA GUTIERREZ,76.2,94.84,89.99,0.47,185.3,2.4318,3
SAN MIGUEL DE URCUQUI,URCUQUI,60.0,27.22,146.19,5.24,178.65,2.9775,3
OTAVALO,SAN JUAN DE ILUMAN,20.5,64.79,99.15,0.75,164.69,8.0337,3
COTACACHI,QUIROGA,45.6,64.05,89.92,0.97,154.94,3.3978,3
OTAVALO,EUGENIO ESPEJO,28.0,0.41,130.15,21.23,151.79,5.4211,3
PIMAMPIRO,MARIANO ACOSTA,131.4,15.72,80.52,52.6,148.84,1.1327,3
PIMAMPIRO,PIMAMPIRO,92.8,73.01,65.12,10.19,148.32,1.5983,3
ANTONIO ANTE,SAN ROQUE,18.3,57.1,88.54,0.73,146.37,7.9984,3
ANTONIO ANTE,ATUNTAQUI,22.4,40.81,75.49,1.33,117.63,5.2513,3
SAN MIGUEL DE URCUQUI,TUMBABIRO,37.6,17.69,91.42,5.04,114.15,3.0359,3
SAN MIGUEL DE URCUQUI,PABLO ARENAS,54.3,22.87,81.8,4.95,109.62,2.0188,3
OTAVALO,DR. MIGUEL EGAS CABEZAS,10.1,21.77,76.41,8.19,106.36999999999999,10.5317,3
ANTONIO ANTE,IMBAYA,11.6,8.5,57.69,0.18,66.37,5.7216,3
ANTONIO ANTE,SAN FRANCISCO DE NATABUELA,10.6,21.54,38.24,0.6,60.38,5.6962,3
SAN MIGUEL DE URCUQUI,SAN BLAS,73.9,5.67,47.36,3.21,56.24,0.761,3
IBARRA,LA CAROLINA,273.2,31.02,0.29,11.89,43.2,0.1581,3
OTAVALO,PATAQUI,10.0,0.29,31.23,5.52,37.04,3.704,3
ANTONIO ANTE,SAN JOSE DE CHALTURA,17.0,2.1,25.06,1.44,28.6,1.6824,3
PIMAMPIRO,SAN FRANCISCO DE SIGSIPAMBA,166.1,0.07,0.05,11.36,11.48,0.0691,3
PIMAMPIRO,CHUGA,49.5,4.46,3.02,0.74,8.219999999999999,0.1661,3
SAN MIGUEL DE URCUQUI,CAHUASQUI,126.6,0.6,2.17,1.92,4.6899999999999995,0.037,3
