parroquia,canton,cultivo,ssp,horizonte,aptitud_rf,superficie_ha,deficit_mm,dias_estres,cdd_max,estado_peligro_deficit,estado_peligro_termico,estado_peligro_sequia,estado_exposicion,estado_vulnerabilidad,prob_riesgo_bajo,prob_riesgo_medio,prob_riesgo_alto,indice_riesgo
SAN MIGUEL DE IBARRA,IBARRA,papa,ssp126,2021-2040,0.6364,98.4700,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Alta,Media,0.0910,0.3290,0.5800,0.7445
AMBUQUI,IBARRA,papa,ssp126,2021-2040,0.5292,46.0400,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Alta,Media,0.0910,0.3290,0.5800,0.7445
ANGOCHAGUA,IBARRA,papa,ssp126,2021-2040,0.6642,106.2500,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Alta,Media,0.0910,0.3290,0.5800,0.7445
LA CAROLINA,IBARRA,papa,ssp126,2021-2040,0.4377,11.8900,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Alta,Media,0.0910,0.3290,0.5800,0.7445
LA ESPERANZA,IBARRA,papa,ssp126,2021-2040,0.6599,8.8400,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Alta,Media,0.0910,0.3290,0.5800,0.7445
LITA,IBARRA,papa,ssp126,2021-2040,0.1938,0.1800,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Baja,Alta,0.1780,0.3770,0.4450,0.6335
SALINAS,IBARRA,papa,ssp126,2021-2040,0.5948,3.3600,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Media,Media,0.2020,0.4430,0.3550,0.5765
SAN ANTONIO,IBARRA,papa,ssp126,2021-2040,0.6339,1.0700,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Media,Media,0.2020,0.4430,0.3550,0.5765
ATUNTAQUI,ANTONIO ANTE,papa,ssp126,2021-2040,0.6399,1.3300,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Media,Media,0.2020,0.4430,0.3550,0.5765
IMBAYA,ANTONIO ANTE,papa,ssp126,2021-2040,0.6339,0.1800,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Baja,Media,0.3950,0.4200,0.1850,0.3950
SAN FRANCISCO DE NATABUELA,ANTONIO ANTE,papa,ssp126,2021-2040,0.6339,0.6000,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Baja,Media,0.3950,0.4200,0.1850,0.3950
SAN JOSE DE CHALTURA,ANTONIO ANTE,papa,ssp126,2021-2040,0.6339,1.4400,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Media,Media,0.2020,0.4430,0.3550,0.5765
SAN ROQUE,ANTONIO ANTE,papa,ssp126,2021-2040,0.6432,0.7300,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Baja,Media,0.3950,0.4200,0.1850,0.3950
COTACACHI,COTACACHI,papa,ssp126,2021-2040,0.6399,1.3300,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Media,Media,0.2020,0.4430,0.3550,0.5765
APUELA,COTACACHI,papa,ssp126,2021-2040,0.6154,0.3700,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Baja,Media,0.3950,0.4200,0.1850,0.3950
GARCIA MORENO,COTACACHI,papa,ssp126,2021-2040,0.2400,0.0500,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Baja,Alta,0.1780,0.3770,0.4450,0.6335
IMANTAG,COTACACHI,papa,ssp126,2021-2040,0.6454,4.4900,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Media,Media,0.2020,0.4430,0.3550,0.5765
PENAHERRERA,COTACACHI,papa,ssp126,2021-2040,0.4467,0.3200,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Baja,Media,0.3950,0.4200,0.1850,0.3950
PLAZA GUTIERREZ,COTACACHI,papa,ssp126,2021-2040,0.6443,0.4700,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Baja,Media,0.3950,0.4200,0.1850,0.3950
QUIROGA,COTACACHI,papa,ssp126,2021-2040,0.6522,0.9700,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Baja,Media,0.3950,0.4200,0.1850,0.3950
SEIS DE JULIO DE CUELLAJE,COTACACHI,papa,ssp126,2021-2040,0.4269,3.8500,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Media,Media,0.2020,0.4430,0.3550,0.5765
VACAS GALINDO,COTACACHI,papa,ssp126,2021-2040,0.4467,0.0500,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Baja,Media,0.3950,0.4200,0.1850,0.3950
OTAVALO,OTAVALO,papa,ssp126,2021-2040,0.6432,45.9200,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Alta,Media,0.0910,0.3290,0.5800,0.7445
DR. MIGUEL EGAS CABEZAS,OTAVALO,papa,ssp126,2021-2040,0.6432,8.1900,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Media,Media,0.2020,0.4430,0.3550,0.5765
EUGENIO ESPEJO,OTAVALO,papa,ssp126,2021-2040,0.6420,21.2300,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Alta,Media,0.0910,0.3290,0.5800,0.7445
GONZALEZ SUAREZ,OTAVALO,papa,ssp126,2021-2040,0.6557,67.2900,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Alta,Media,0.0910,0.3290,0.5800,0.7445
PATAQUI,OTAVALO,papa,ssp126,2021-2040,0.6360,5.5200,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Media,Media,0.2020,0.4430,0.3550,0.5765
SAN JOSE DE QUICHINCHE,OTAVALO,papa,ssp126,2021-2040,0.6553,12.3600,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Alta,Media,0.0910,0.3290,0.5800,0.7445
SAN JUAN DE ILUMAN,OTAVALO,papa,ssp126,2021-2040,0.6432,0.7500,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Baja,Media,0.3950,0.4200,0.1850,0.3950
SAN PABLO,OTAVALO,papa,ssp126,2021-2040,0.6599,120.4200,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Alta,Media,0.0910,0.3290,0.5800,0.7445
SAN RAFAEL,OTAVALO,papa,ssp126,2021-2040,0.6420,37.6000,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Alta,Media,0.0910,0.3290,0.5800,0.7445
SELVA ALEGRE,OTAVALO,papa,ssp126,2021-2040,0.4893,0.5100,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Baja,Media,0.3950,0.4200,0.1850,0.3950
PIMAMPIRO,PIMAMPIRO,papa,ssp126,2021-2040,0.6854,10.1900,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Alta,Media,0.0910,0.3290,0.5800,0.7445
CHUGA,PIMAMPIRO,papa,ssp126,2021-2040,0.7096,0.7400,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
MARIANO ACOSTA,PIMAMPIRO,papa,ssp126,2021-2040,0.7224,52.6000,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Alta,Baja,0.1780,0.3770,0.4450,0.6335
SAN FRANCISCO DE SIGSIPAMBA,PIMAMPIRO,papa,ssp126,2021-2040,0.6222,11.3600,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Alta,Media,0.0910,0.3290,0.5800,0.7445
URCUQUI,SAN MIGUEL DE URCUQUI,papa,ssp126,2021-2040,0.5751,5.2400,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Media,Media,0.2020,0.4430,0.3550,0.5765
CAHUASQUI,SAN MIGUEL DE URCUQUI,papa,ssp126,2021-2040,0.6821,1.9200,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Media,Media,0.2020,0.4430,0.3550,0.5765
LA MERCED DE BUENOS AIRES,SAN MIGUEL DE URCUQUI,papa,ssp126,2021-2040,0.4575,0.5400,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Baja,Media,0.3950,0.4200,0.1850,0.3950
PABLO ARENAS,SAN MIGUEL DE URCUQUI,papa,ssp126,2021-2040,0.6411,4.9500,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Media,Media,0.2020,0.4430,0.3550,0.5765
SAN BLAS,SAN MIGUEL DE URCUQUI,papa,ssp126,2021-2040,0.6411,3.2100,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Media,Media,0.2020,0.4430,0.3550,0.5765
TUMBABIRO,SAN MIGUEL DE URCUQUI,papa,ssp126,2021-2040,0.6411,5.0400,-41.5599,67.9500,1788480000000000.0000,Bajo,Alto,Alto,Media,Media,0.2020,0.4430,0.3550,0.5765
SAN MIGUEL DE IBARRA,IBARRA,maiz,ssp126,2021-2040,0.7481,851.8500,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Baja,0.1780,0.3770,0.4450,0.6335
AMBUQUI,IBARRA,maiz,ssp126,2021-2040,0.7397,70.8700,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Baja,0.6500,0.2700,0.0800,0.2150
ANGOCHAGUA,IBARRA,maiz,ssp126,2021-2040,0.7242,133.1000,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Media,Baja,0.3950,0.4200,0.1850,0.3950
LA CAROLINA,IBARRA,maiz,ssp126,2021-2040,0.6458,0.2900,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Baja,Media,0.3950,0.4200,0.1850,0.3950
LA ESPERANZA,IBARRA,maiz,ssp126,2021-2040,0.7554,166.3000,-41.5599,0.0000,1788480000000000.0000,Bajo,Bajo,Alto,Alta,Baja,0.1780,0.3770,0.4450,0.6335
