parroquia,ir_medio,ir_max,n_cultivos_alto,ranking,_k
GARCIA MORENO,0.6890000000000001,0.7445,4,1,GARCIA MORENO
SEIS DE JULIO DE CUELLAJE,0.6571250000000001,0.7445,3,2,SEIS DE JULIO DE CUELLAJE
SAN MIGUEL DE IBARRA,0.629375,0.7445,3,3,SAN MIGUEL DE IBARRA
LA CAROLINA,0.619375,0.8725,3,4,LA CAROLINA
LITA,0.601625,0.7445,3,5,LITA
COTACACHI,0.587375,0.7445,3,6,COTACACHI
LA ESPERANZA,0.56975,0.7445,2,7,LA ESPERANZA
AMBUQUI,0.542,0.7445,2,8,AMBUQUI
PIMAMPIRO,0.542,0.7445,2,9,PIMAMPIRO
PENAHERRERA,0.542,0.7445,2,10,PENAHERRERA
OTAVALO,0.542,0.7445,2,11,OTAVALO
SAN JOSE DE QUICHINCHE,0.542,0.7445,2,12,SAN JOSE DE QUICHINCHE
LA MERCED DE BUENOS AIRES,0.542,0.7445,2,13,LA MERCED DE BUENOS AIRES
URCUQUI,0.52775,0.7445,2,14,URCUQUI
MARIANO ACOSTA,0.52775,0.7445,2,15,MARIANO ACOSTA
SAN PABLO,0.52475,0.7445,2,16,SAN PABLO
APUELA,0.51425,0.6335,2,17,APUELA
SALINAS,0.5,0.6335,2,18,SALINAS
SELVA ALEGRE,0.5,0.6335,2,19,SELVA ALEGRE
VACAS GALINDO,0.5,0.6335,2,20,VACAS GALINDO
SAN RAFAEL,0.497,0.7445,2,21,SAN RAFAEL
TUMBABIRO,0.48575,0.5765,2,22,TUMBABIRO
PABLO ARENAS,0.48575,0.5765,2,23,PABLO ARENAS
SAN ANTONIO,0.48575,0.5765,2,24,SAN ANTONIO
SAN FRANCISCO DE SIGSIPAMBA,0.482375,0.7445,1,25,SAN FRANCISCO DE SIGSIPAMBA
ANGOCHAGUA,0.482375,0.7445,1,26,ANGOCHAGUA
IMANTAG,0.45499999999999996,0.6335,2,27,IMANTAG
PLAZA GUTIERREZ,0.454625,0.6335,1,28,PLAZA GUTIERREZ
SAN JUAN DE ILUMAN,0.454625,0.6335,1,29,SAN JUAN DE ILUMAN
ATUNTAQUI,0.440375,0.5765,1,30,ATUNTAQUI
GONZALEZ SUAREZ,0.437375,0.7445,1,31,GONZALEZ SUAREZ
EUGENIO ESPEJO,0.437375,0.7445,1,32,EUGENIO ESPEJO
DR. MIGUEL EGAS CABEZAS,0.39537500000000003,0.5765,1,33,DR. MIGUEL EGAS CABEZAS
SAN BLAS,0.39537500000000003,0.5765,1,34,SAN BLAS
SAN JOSE DE CHALTURA,0.39537500000000003,0.5765,1,35,SAN JOSE DE CHALTURA
CHUGA,0.395,0.395,0,36,CHUGA
SAN FRANCISCO DE NATABUELA,0.395,0.395,0,37,SAN FRANCISCO DE NATABUELA
QUIROGA,0.395,0.395,0,38,QUIROGA
SAN ROQUE,0.395,0.395,0,39,SAN ROQUE
CAHUASQUI,0.350375,0.5765,1,40,CAHUASQUI
PATAQUI,0.350375,0.5765,1,41,PATAQUI
IMBAYA,0.35,0.395,0,42,IMBAYA
